,Iteration,B Type,Constructor,Land Cost,A type,A Size- Sq.Meters,CC1,CC2,Net OP,Q1,Q2,P1,P2,Primary Action,Subsidy Cost,Education Cost,E,EI,U2-Education,U3-Education,M2-Education,Quota_M2-Education,Merge_M2-Education,Residual_M2-Education,M1-Education,S,SI,Price Difference,Price Difference- After Subsidy,Percent,U2- Subsidy,M2- Subsidy,Quota_M2- Subsidy,Merge_M2- Subsidy,Residual_M2- Subsidy,M1 Subsidy,Constructor Profit
61,7,B7,2,246097,A3,88,739073,773581,14.5%,846239,885751,846239,885751,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,567,200,200,367,0,0,0,39512,39512,4.461%,38.372%,567,200,200,367,0,0
62,7,B7,3,246097,A3,88,739073,773581,14.0%,842543,881883,842543,881883,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,367,200,200,167,0,0,0,39339,39339,4.461%,38.372%,367,200,200,167,0,0
63,7,B7,4,246097,A3,88,739073,773581,13.5%,838848,878015,838848,878015,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,167,167,200,0,0,0,0,39167,39167,4.461%,38.372%,167,167,200,0,0,0
64,7,B7,5,246097,A3,88,739073,773581,13.0%,835152,874147,835152,874147,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,38994,38994,4.461%,38.372%,0,0,0,0,200,0
65,7,B7,6,246097,A3,88,739073,773581,12.5%,831457,870279,831457,870279,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,38822,38822,4.461%,38.372%,0,0,0,0,200,0
66,7,B7,7,246097,A3,88,739073,773581,12.0%,827762,866411,827762,866411,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,38649,38649,4.461%,38.372%,0,0,0,0,200,0
67,7,B7,8,246097,A3,88,739073,773581,11.5%,824066,862543,824066,862543,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,38477,38477,4.461%,38.372%,0,0,0,0,200,0
68,7,B7,9,246097,A3,88,739073,773581,11.0%,820371,858675,820371,858675,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,38304,38304,4.461%,38.372%,0,0,0,0,200,0
69,7,B7,10,246097,A3,88,739073,773581,10.5%,816676,854807,816676,854807,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,38132,38132,4.461%,38.372%,0,0,0,0,200,0
70,8,B1,1,2769804,A4,118,3430840,3477113,15.0%,3945466,3998679,4016387,4071463,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,767,200,200,567,0,0,0,55076,55076,1.353%,38.372%,767,200,200,567,0,0
71,8,B1,2,2769804,A4,118,3430840,3477113,14.5%,3928312,3981294,3998632,4053469,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,567,200,200,367,0,0,0,54836,54836,1.353%,38.372%,567,200,200,367,0,0
72,8,B1,3,2769804,A4,118,3430840,3477113,14.0%,3911158,3963908,3980878,4035475,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,367,200,200,167,0,0,0,54597,54597,1.353%,38.372%,367,200,200,167,0,0
73,8,B1,4,2769804,A4,118,3430840,3477113,13.5%,3894003,3946523,3963123,4017481,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,167,167,200,0,0,0,0,54357,54357,1.353%,38.372%,167,167,200,0,0,0
74,8,B1,5,2769804,A4,118,3430840,3477113,13.0%,3876849,3929137,3945368,3999487,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,54118,54118,1.353%,38.372%,0,0,0,0,200,0
75,8,B1,6,2769804,A4,118,3430840,3477113,12.5%,3859695,3911752,3927614,3981492,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,53879,53879,1.353%,38.372%,0,0,0,0,200,0
76,8,B1,7,2769804,A4,118,3430840,3477113,12.0%,3842541,3894366,3909859,3963498,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,53639,53639,1.353%,38.372%,0,0,0,0,200,0
77,8,B1,8,2769804,A4,118,3430840,3477113,11.5%,3825387,3876980,3892105,3945504,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,53400,53400,1.353%,38.372%,0,0,0,0,200,0
78,8,B1,9,2769804,A4,118,3430840,3477113,11.0%,3808232,3859595,3874350,3927510,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,53160,53160,1.354%,38.372%,0,0,0,0,200,0
79,8,B1,10,2769804,A4,118,3430840,3477113,10.5%,3791078,3842209,3856596,3909516,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,52921,52921,1.354%,38.372%,0,0,0,0,200,0
80,9,B2,1,1663770,A4,118,2324806,2371079,15.0%,2673527,2726740,2699930,2755006,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,767,200,200,567,0,0,0,55076,55076,1.999%,38.372%,767,200,200,567,0,0
81,9,B2,2,1663770,A4,118,2324806,2371079,14.5%,2661903,2714885,2687899,2742735,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,567,200,200,367,0,0,0,54836,54836,1.999%,38.372%,567,200,200,367,0,0
82,9,B2,3,1663770,A4,118,2324806,2371079,14.0%,2650279,2703030,2675868,2730465,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,367,200,200,167,0,0,0,54597,54597,2.0%,38.372%,367,200,200,167,0,0
83,9,B2,4,1663770,A4,118,2324806,2371079,13.5%,2638655,2691174,2663837,2718195,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,167,167,200,0,0,0,0,54357,54357,2.0%,38.372%,167,167,200,0,0,0
84,9,B2,5,1663770,A4,118,2324806,2371079,13.0%,2627031,2679319,2651806,2705924,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,54118,54118,2.0%,38.372%,0,0,0,0,200,0
85,9,B2,6,1663770,A4,118,2324806,2371079,12.5%,2615407,2667463,2639776,2693654,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,53879,53879,2.0%,38.372%,0,0,0,0,200,0
86,9,B2,7,1663770,A4,118,2324806,2371079,12.0%,2603783,2655608,2627745,2681384,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,53639,53639,2.0%,38.372%,0,0,0,0,200,0
87,9,B2,8,1663770,A4,118,2324806,2371079,11.5%,2592159,2643753,2615714,2669113,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,53400,53400,2.001%,38.372%,0,0,0,0,200,0
88,9,B2,9,1663770,A4,118,2324806,2371079,11.0%,2580535,2631897,2603683,2656843,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,53160,53160,2.001%,38.372%,0,0,0,0,200,0
89,9,B2,10,1663770,A4,118,2324806,2371079,10.5%,2568911,2620042,2591652,2644573,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,52921,52921,2.001%,38.372%,0,0,0,0,200,0
90,10,B3,1,1183094,A4,118,1844130,1890403,15.0%,2120750,2173963,2127805,2182881,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,767,200,200,567,0,0,0,55076,55076,2.523%,38.372%,767,200,200,567,0,0
91,10,B3,2,1183094,A4,118,1844130,1890403,14.5%,2111529,2164511,2118262,2173098,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,567,200,200,367,0,0,0,54836,54836,2.523%,38.372%,567,200,200,367,0,0
92,10,B3,3,1183094,A4,118,1844130,1890403,14.0%,2102308,2155059,2108719,2163316,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,367,200,200,167,0,0,0,54597,54597,2.524%,38.372%,367,200,200,167,0,0
93,10,B3,4,1183094,A4,118,1844130,1890403,13.5%,2093088,2145607,2099175,2153533,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,167,167,200,0,0,0,0,54357,54357,2.524%,38.372%,167,167,200,0,0,0
94,10,B3,5,1183094,A4,118,1844130,1890403,13.0%,2083867,2136155,2089632,2143750,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,54118,54118,2.524%,38.372%,0,0,0,0,200,0
95,10,B3,6,1183094,A4,118,1844130,1890403,12.5%,2074646,2126703,2080088,2133967,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,53879,53879,2.525%,38.372%,0,0,0,0,200,0
96,10,B3,7,1183094,A4,118,1844130,1890403,12.0%,2065426,2117251,2070545,2124184,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,53639,53639,2.525%,38.372%,0,0,0,0,200,0
97,10,B3,8,1183094,A4,118,1844130,1890403,11.5%,2056205,2107799,2061002,2114401,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,53400,53400,2.526%,38.372%,0,0,0,0,200,0
98,10,B3,9,1183094,A4,118,1844130,1890403,11.0%,2046984,2098347,2051458,2104619,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,53160,53160,2.526%,38.372%,0,0,0,0,200,0
99,10,B3,10,1183094,A4,118,1844130,1890403,10.5%,2037764,2088895,2041915,2094836,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,52921,52921,2.526%,38.372%,0,0,0,0,200,0
100,11,B4,1,930283,A4,118,1591319,1637592,15.0%,1830017,1883230,1830017,1883230,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,767,200,200,567,0,0,0,53213,53213,2.826%,38.372%,767,200,200,567,0,0
101,11,B4,2,930283,A4,118,1591319,1637592,14.5%,1822060,1875042,1822060,1875042,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,567,200,200,367,0,0,0,52982,52982,2.826%,38.372%,567,200,200,367,0,0
102,11,B4,3,930283,A4,118,1591319,1637592,14.0%,1814104,1866854,1814104,1866854,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,367,200,200,167,0,0,0,52751,52751,2.826%,38.372%,367,200,200,167,0,0
103,11,B4,4,930283,A4,118,1591319,1637592,13.5%,1806147,1858666,1806147,1858666,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,167,167,200,0,0,0,0,52519,52519,2.826%,38.372%,167,167,200,0,0,0
104,11,B4,5,930283,A4,118,1591319,1637592,13.0%,1798190,1850478,1798190,1850478,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,52288,52288,2.826%,38.372%,0,0,0,0,200,0
105,11,B4,6,930283,A4,118,1591319,1637592,12.5%,1790234,1842290,1790234,1842290,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,52057,52057,2.826%,38.372%,0,0,0,0,200,0
106,11,B4,7,930283,A4,118,1591319,1637592,12.0%,1782277,1834103,1782277,1834103,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,51825,51825,2.826%,38.372%,0,0,0,0,200,0
107,11,B4,8,930283,A4,118,1591319,1637592,11.5%,1774321,1825915,1774321,1825915,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,51594,51594,2.826%,38.372%,0,0,0,0,200,0
108,11,B4,9,930283,A4,118,1591319,1637592,11.0%,1766364,1817727,1766364,1817727,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,51362,51362,2.826%,38.372%,0,0,0,0,200,0
109,11,B4,10,930283,A4,118,1591319,1637592,10.5%,1758407,1809539,1758407,1809539,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,51131,51131,2.826%,38.372%,0,0,0,0,200,0
110,12,B5,1,663515,A4,118,1324551,1370824,15.0%,1523234,1576447,1523234,1576447,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,767,200,200,567,0,0,0,53213,53213,3.376%,38.372%,767,200,200,567,0,0
111,12,B5,2,663515,A4,118,1324551,1370824,14.5%,1516611,1569593,1516611,1569593,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,567,200,200,367,0,0,0,52982,52982,3.376%,38.372%,567,200,200,367,0,0
112,12,B5,3,663515,A4,118,1324551,1370824,14.0%,1509988,1562739,1509988,1562739,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,367,200,200,167,0,0,0,52751,52751,3.376%,38.372%,367,200,200,167,0,0
