,Iteration,B Type,Constructor,Education Budget,Subdsidy Budget,Subsidy Level,Education Spare Budget,Subsidy Spare Budget,Land Cost,CC1,CC2,Net OP 1,A3 P1,A3 P2,A3 Subsidy Level,A4 P1,A4 P2,A4 Subsidy Level,A5 P1,A5 P2,A5 Subsidy Level,A6 P1,A6 P2,A6 Subsidy Level,Education Cost,Education affect,EI,U2-After-Education,U3-After-Education,Subsidy Level Cap,Subsidy Left,A3 Constructor Amount,Green A3 Demand,Green A3 Total Built,Green A3 Percentage Built,Green A3 Amount left,A4 Constructor Amount,Green A4 Demand,Green A4 Total Built,Green A4 Percentage Built,Green A4 Amount left,A5 Constructor Amount,Green A5 Demand,Green A5 Total Built,Green A5 Percentage Built,Green A5 Amount left,A6 Constructor Amount,Green A6 Demand,Green A6 Total Built,Green A6 Percentage Built,Green A6 Amount left,H1,H2,Total Green Apartments,Constructor Profit
51,2,B2,2,0.0,15000000.0,150000,0.0,7650000.0,1663770,471179420,480869199,14.75%,2494316,2669344,150000,2693914,2888323,150000,2886860,3100003,150000,3079805,3311684,150000,0,0.0,,2.5%,67.5%,150000,7650000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,69498950.0,69498950.0,49,69498950.0
52,2,B2,3,0.0,15000000.0,150000,0.0,7650000.0,1663770,471179420,480869199,14.5%,2488735,2663221,150000,2687899,2881724,150000,2880424,3092943,150000,3072949,3304162,150000,0,0.0,,2.5%,67.5%,150000,7650000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,68321010.0,68321010.0,49,68321010.0
53,2,B2,4,0.0,15000000.0,150000,0.0,7650000.0,1663770,471179420,480869199,14.25%,2483155,2657099,150000,2681884,2875124,150000,2873988,3085882,150000,3066093,3296640,150000,0,0.0,,2.5%,67.5%,150000,7650000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,67143050.0,67143050.0,49,67143050.0
54,2,B2,5,0.0,15000000.0,150000,0.0,7650000.0,1663770,471179420,480869199,14.0%,2477574,2650976,150000,2675868,2868525,150000,2867552,3078821,150000,3059237,3289118,150000,0,0.0,,2.5%,67.5%,150000,7650000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,65965110.0,65965110.0,49,65965110.0
55,2,B2,6,0.0,15000000.0,150000,0.0,7650000.0,1663770,471179420,480869199,13.75%,2471994,2644854,150000,2669853,2861925,150000,2861117,3071761,150000,3052380,3281596,150000,0,0.0,,2.5%,67.5%,150000,7650000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,64787220.0,64787220.0,49,64787220.0
56,2,B2,7,0.0,15000000.0,150000,0.0,7650000.0,1663770,471179420,480869199,13.5%,2466413,2638731,150000,2663837,2855325,150000,2854681,3064700,150000,3045524,3274074,150000,0,0.0,,2.5%,67.5%,150000,7650000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,63609260.0,63609260.0,49,63609260.0
57,2,B2,8,0.0,15000000.0,150000,0.0,7650000.0,1663770,471179420,480869199,13.25%,2460832,2632609,150000,2657822,2848726,150000,2848245,3057639,150000,3038668,3266552,150000,0,0.0,,2.5%,67.5%,150000,7650000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,62431270.0,62431270.0,49,62431270.0
58,2,B2,9,0.0,15000000.0,150000,0.0,7650000.0,1663770,471179420,480869199,13.0%,2455252,2626486,150000,2651806,2842126,150000,2841809,3050578,150000,3031812,3259030,150000,0,0.0,,2.5%,67.5%,150000,7650000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,61253330.0,61253330.0,49,61253330.0
59,2,B2,10,0.0,15000000.0,150000,0.0,7650000.0,1663770,471179420,480869199,12.75%,2449671,2620364,150000,2645791,2835527,150000,2835373,3043518,150000,3024956,3251509,150000,0,0.0,,2.5%,67.5%,150000,7650000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,60075390.0,60075390.0,49,60075390.0
60,3,B3,1,0.0,15000000.0,50000,0.0,12550000.0,1194977,377420820,387110599,15.0%,1941916,2063305,50000,2141949,2282762,50000,2335315,2494903,50000,2528680,2707045,50000,0,0.0,,2.5%,67.5%,50000,12550000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,56613140.0,61077156.0,49,61077156.0
