,Iteration,B Type,Constructor,Land Cost,CC1,CC2,Net OP 1,A3 P1,A3 P2,A4 P1,A4 P2,A5 P1,A5 P2,A6 P1,A6 P2,Primary Action,Subsidy Cost,Education Cost,E,EI,U2-After-Education,U3-After-Education,Subsidy Level,Subsidy Left,A3 Constructor Amount,Green A3 Demand,Green A3 Total Built,Green A3 Amount left,A4 Constructor Amount,Green A4 Demand,Green A4 Total Built,Green A4 Amount left,A5 Constructor Amount,Green A5 Demand,Green A5 Total Built,Green A5 Amount left,A6 Constructor Amount,Green A6 Demand,Green A6 Total Built,Green A6 Amount left,H1,H2,Total Green Apartments,Constructor Profit
25,3,B3,6,1183094,375044220,384733999,13.75%,1906530,2024483,2103947,2241070,2295211,2450905,2486475,2660741,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,51568620.0,51568620.0,341.0,51568620.0
26,3,B3,7,1183094,375044220,384733999,13.5%,1902339,2019886,2099175,2235835,2290019,2445209,2480862,2654583,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,50630960.0,50630960.0,341.0,50630960.0
27,3,B3,8,1183094,375044220,384733999,13.25%,1898149,2015289,2094404,2230600,2284827,2439513,2475250,2648426,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,49693340.0,49693340.0,341.0,49693340.0
28,3,B3,9,1183094,375044220,384733999,13.0%,1893959,2010692,2089632,2225365,2279635,2433817,2469637,2642269,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,48755730.0,48755730.0,341.0,48755730.0
29,3,B3,10,1183094,375044220,384733999,12.75%,1889769,2006095,2084860,2220130,2274443,2428120,2464025,2636111,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,47818170.0,47818170.0,341.0,47818170.0
30,4,B4,1,930283,324482020,334171799,15.0%,1636748,1734953,1830017,1940541,2020263,2149260,2213628,2361401,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,50.0,35.0,80.0,137,80.0,57.0,50.0,85,50.0,35.0,20.0,34,20.0,14.0,48672340.0,61764060.0,200.0,61764060.0
31,4,B4,2,930283,324482020,334171799,14.75%,1633190,1731181,1826039,1936176,2015725,2144281,2208670,2355961,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,47861150.0,57046419.0,341.0,57046419.0
32,4,B4,3,930283,324482020,334171799,14.5%,1629632,1727409,1822060,1931812,2011187,2139303,2203712,2350522,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,47049910.0,47049910.0,341.0,47049910.0
33,4,B4,4,930283,324482020,334171799,14.25%,1626073,1723638,1818082,1927447,2006649,2134324,2198754,2345082,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,46238650.0,46238650.0,341.0,46238650.0
34,4,B4,5,930283,324482020,334171799,14.0%,1622515,1719866,1814104,1923083,2002111,2129346,2193795,2339642,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,45427510.0,45427510.0,341.0,45427510.0
35,4,B4,6,930283,324482020,334171799,13.75%,1618957,1716095,1810125,1918733,1997573,2124367,2188837,2334203,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,44616220.0,44616220.0,341.0,44616220.0
36,4,B4,7,930283,324482020,334171799,13.5%,1615399,1712323,1806147,1914516,1993035,2119389,2183879,2328763,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,43805080.0,43805080.0,341.0,43805080.0
37,4,B4,8,930283,324482020,334171799,13.25%,1611841,1708551,1802169,1910299,1988497,2114410,2178920,2323323,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,42993870.0,42993870.0,341.0,42993870.0
