,Iteration,B Type,Constructor,Land Cost,CC1,CC2,Net OP,Q1,Q2,P1,P2,Primary Action,Subsidy Cost,Education Cost,E,EI,U2-After-Education,U3-After-Education,S,Price Difference,Price Difference- After Subsidy,P2-Subsidized-Relative-Percent,U2-After-Subsidy,M2-After-Subsidy,Quota_M2- Subsidy,Merge_M2- Subsidy,Residual_M2- Subsidy,M1 Subsidy,H1,H2,Constructor Profit
38,4,B4,9,930283,324482020,334171799,11.0%,2127021,2203629,2134296,2213586,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,79290,79290,3.582%,26.926%,0,0,0,0,200,35692970.0,42157200,42157200
39,4,B4,10,930283,324482020,334171799,10.5%,2117440,2193703,2124380,2203312,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,78933,78933,3.582%,26.926%,0,0,0,0,200,34070590.0,40241000,40241000
40,5,B5,1,663515,271128420,280818199,15.0%,1896887,1976256,1896887,1978255,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,81368,81368,4.113%,26.926%,539,200,200,339,0,40669290.0,51554600,51554600
41,5,B5,2,663515,271128420,280818199,14.5%,1888640,1967664,1888640,1969362,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,80722,80722,4.099%,26.926%,339,200,200,139,0,39313610.0,49836000,49836000
42,5,B5,3,663515,271128420,280818199,14.0%,1880392,1959071,1880392,1960468,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,80076,80076,4.085%,26.926%,139,139,200,0,0,37957960.0,48117600,48117600
43,5,B5,4,663515,271128420,280818199,13.5%,1872145,1950479,1872145,1951575,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,79430,79430,4.07%,26.926%,0,0,0,0,200,36602280.0,44535600,44535600
44,5,B5,5,663515,271128420,280818199,13.0%,1863898,1941887,1863898,1942682,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,78784,78784,4.055%,26.926%,0,0,0,0,200,35246730.0,42886200,42886200
45,5,B5,6,663515,271128420,280818199,12.5%,1855650,1933294,1855650,1933789,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,78139,78139,4.041%,26.926%,0,0,0,0,200,33891030.0,41236600,41236600
46,5,B5,7,663515,271128420,280818199,12.0%,1847403,1924702,1847403,1924896,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,77493,77493,4.026%,26.926%,0,0,0,0,200,32535400.0,39587200,39587200
47,5,B5,8,663515,271128420,280818199,11.5%,1839156,1916109,1839156,1916109,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,76954,76954,4.016%,26.926%,0,0,0,0,200,31179720.0,37937800,37937800
48,5,B5,9,663515,271128420,280818199,11.0%,1830908,1907517,1830908,1907517,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,76608,76608,4.016%,26.926%,0,0,0,0,200,29824150.0,36288200,36288200
49,5,B5,10,663515,271128420,280818199,10.5%,1822661,1898924,1822661,1898924,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,76263,76263,4.016%,26.926%,0,0,0,0,200,28468520.0,34638800,34638800
50,6,B6,1,463951,231215620,240905399,15.0%,1667388,1746758,1667388,1746758,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,79369,79369,4.544%,26.926%,539,200,200,339,0,34682340.0,45567600,45567600
51,6,B6,2,463951,231215620,240905399,14.5%,1660139,1739163,1660139,1739163,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,79024,79024,4.544%,26.926%,339,200,200,139,0,33526260.0,44048600,44048600
52,6,B6,3,463951,231215620,240905399,14.0%,1652889,1731568,1652889,1731568,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,78679,78679,4.544%,26.926%,139,139,200,0,0,32370160.0,42529800,42529800
53,6,B6,4,463951,231215620,240905399,13.5%,1645640,1723974,1645640,1723974,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,78334,78334,4.544%,26.926%,0,0,0,0,200,31214080.0,39147400,39147400
54,6,B6,5,463951,231215620,240905399,13.0%,1638390,1716379,1638390,1716379,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,77989,77989,4.544%,26.926%,0,0,0,0,200,30058030.0,37697400,37697400
55,6,B6,6,463951,231215620,240905399,12.5%,1631141,1708785,1631141,1708785,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,77644,77644,4.544%,26.926%,0,0,0,0,200,28901950.0,36247600,36247600
56,6,B6,7,463951,231215620,240905399,12.0%,1623891,1701190,1623891,1701190,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,77299,77299,4.544%,26.926%,0,0,0,0,200,27745800.0,34797600,34797600
57,6,B6,8,463951,231215620,240905399,11.5%,1616642,1693595,1616642,1693595,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,76954,76954,4.544%,26.926%,0,0,0,0,200,26589850.0,33347800,33347800
58,6,B6,9,463951,231215620,240905399,11.0%,1609392,1686001,1609392,1686001,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,76608,76608,4.544%,26.926%,0,0,0,0,200,25433750.0,31897800,31897800
59,6,B6,10,463951,231215620,240905399,10.5%,1602143,1678406,1602143,1678406,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,76263,76263,4.544%,26.926%,0,0,0,0,200,24277670.0,30448000,30448000
60,7,B7,1,246097,187644820,197334599,15.0%,1416856,1496225,1416856,1496225,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,79369,79369,5.305%,26.926%,539,200,200,339,0,28146740.0,39032000,39032000
61,7,B7,2,246097,187644820,197334599,14.5%,1410696,1489720,1410696,1489720,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,79024,79024,5.305%,26.926%,339,200,200,139,0,27208510.0,37731000,37731000
62,7,B7,3,246097,187644820,197334599,14.0%,1404536,1483215,1404536,1483215,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,78679,78679,5.305%,26.926%,139,139,200,0,0,26270310.0,36429800,36429800
63,7,B7,4,246097,187644820,197334599,13.5%,1398376,1476710,1398376,1476710,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,78334,78334,5.305%,26.926%,0,0,0,0,200,25332080.0,33265400,33265400
64,7,B7,5,246097,187644820,197334599,13.0%,1392215,1470204,1392215,1470204,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,77989,77989,5.305%,26.926%,0,0,0,0,200,24393780.0,32033200,32033200
65,7,B7,6,246097,187644820,197334599,12.5%,1386055,1463699,1386055,1463699,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,77644,77644,5.305%,26.926%,0,0,0,0,200,23455630.0,30801200,30801200
66,7,B7,7,246097,187644820,197334599,12.0%,1379895,1457194,1379895,1457194,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,77299,77299,5.305%,26.926%,0,0,0,0,200,22517400.0,29569200,29569200
67,7,B7,8,246097,187644820,197334599,11.5%,1373735,1450688,1373735,1450688,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,76954,76954,5.305%,26.926%,0,0,0,0,200,21579120.0,28337200,28337200
68,7,B7,9,246097,187644820,197334599,11.0%,1367574,1444183,1367574,1444183,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,76608,76608,5.305%,26.926%,0,0,0,0,200,20640950.0,27105000,27105000
69,7,B7,10,246097,187644820,197334599,10.5%,1361414,1437678,1361414,1437678,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,76263,76263,5.305%,26.926%,0,0,0,0,200,19702720.0,25873000,25873000
70,8,B1,1,2769804,692386220,702075999,15.0%,4319119,4398489,4403118,4485265,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,82147,77147,1.72%,13.641%,273,200,200,73,0,103857940.0,114743200,114743200
71,8,B1,2,2769804,692386220,702075999,14.5%,4300341,4379365,4383682,4465472,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,81790,76790,1.72%,13.641%,73,73,0,0,200,100396010.0,108917000,108917000
72,8,B1,3,2769804,692386220,702075999,14.0%,4281562,4360241,4364246,4445679,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,81433,76433,1.719%,13.641%,0,0,0,0,200,96934110.0,105161200,105161200
73,8,B1,4,2769804,692386220,702075999,13.5%,4262783,4341117,4344810,4425886,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,81076,76076,1.719%,13.641%,0,0,0,0,200,93472080.0,101405400,101405400
74,8,B1,5,2769804,692386220,702075999,13.0%,4244004,4321993,4325374,4406092,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,80718,75718,1.718%,13.641%,0,0,0,0,200,90010180.0,97649600,97649600
75,8,B1,6,2769804,692386220,702075999,12.5%,4225226,4302869,4305938,4386299,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,80361,75361,1.718%,13.641%,0,0,0,0,200,86548300.0,93894000,93894000
76,8,B1,7,2769804,692386220,702075999,12.0%,4206447,4283745,4286502,4366506,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,80004,75004,1.718%,13.641%,0,0,0,0,200,83086400.0,90138200,90138200
77,8,B1,8,2769804,692386220,702075999,11.5%,4187668,4264621,4267066,4346713,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,79647,74647,1.717%,13.641%,0,0,0,0,200,79624450.0,86382400,86382400
78,8,B1,9,2769804,692386220,702075999,11.0%,4168889,4245498,4247630,4326920,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,79290,74290,1.717%,13.641%,0,0,0,0,200,76162470.0,82626600,82626600
79,8,B1,10,2769804,692386220,702075999,10.5%,4150110,4226374,4228194,4307126,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,78933,73933,1.717%,13.641%,0,0,0,0,200,72700520.0,78870800,78870800
80,9,B2,1,1663770,471179420,480869199,15.0%,3047180,3126549,3086661,3168808,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,82147,77147,2.435%,9.616%,192,192,200,0,0,70676940.0,81562200,81562200
81,9,B2,2,1663770,471179420,480869199,14.5%,3033932,3112956,3072949,3154739,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,81790,76790,2.434%,9.616%,0,0,0,0,200,68321010.0,76842000,76842000
82,9,B2,3,1663770,471179420,480869199,14.0%,3020683,3099362,3059237,3140669,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,81433,76433,2.434%,9.616%,0,0,0,0,200,65965110.0,74192200,74192200
83,9,B2,4,1663770,471179420,480869199,13.5%,3007434,3085768,3045524,3126600,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,81076,76076,2.433%,9.616%,0,0,0,0,200,63609260.0,71542400,71542400
84,9,B2,5,1663770,471179420,480869199,13.0%,2994186,3072175,3031812,3112530,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,80718,75718,2.433%,9.616%,0,0,0,0,200,61253330.0,68892800,68892800
85,9,B2,6,1663770,471179420,480869199,12.5%,2980937,3058581,3018100,3098461,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,80361,75361,2.432%,9.616%,0,0,0,0,200,58897430.0,66243000,66243000
86,9,B2,7,1663770,471179420,480869199,12.0%,2967689,3044987,3004387,3084391,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,80004,75004,2.432%,9.616%,0,0,0,0,200,56541600.0,63593400,63593400
87,9,B2,8,1663770,471179420,480869199,11.5%,2954440,3031394,2990675,3070322,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,79647,74647,2.431%,9.616%,0,0,0,0,200,54185650.0,60943600,60943600
88,9,B2,9,1663770,471179420,480869199,11.0%,2941191,3017800,2976963,3056252,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,79290,74290,2.431%,9.616%,0,0,0,0,200,51829750.0,58293800,58293800
89,9,B2,10,1663770,471179420,480869199,10.5%,2927943,3004206,2963250,3042183,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,78933,73933,2.43%,9.616%,0,0,0,0,200,49473870.0,55644200,55644200
90,10,B3,1,1183094,375044220,384733999,15.0%,2494403,2573772,2514537,2596684,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,82147,77147,2.971%,8.068%,161,161,200,0,0,56256640.0,67141800,67141800
91,10,B3,2,1183094,375044220,384733999,14.5%,2483558,2562582,2503312,2585102,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,81790,76790,2.97%,8.068%,0,0,0,0,200,54381410.0,62902400,62902400
92,10,B3,3,1183094,375044220,384733999,14.0%,2472712,2551391,2492087,2573520,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,81433,76433,2.97%,8.068%,0,0,0,0,200,52506160.0,60733200,60733200
93,10,B3,4,1183094,375044220,384733999,13.5%,2461867,2540201,2480862,2561938,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,81076,76076,2.969%,8.068%,0,0,0,0,200,50630960.0,58564200,58564200
